code,name,kind
114460,KINDEX 국고채,ETF
190620,KINDEX 단기자금,ETF
152500,KINDEX 레버리지,ETF
181480,KINDEX 미국리츠부동산(합성 H),ETF
211260,KINDEX 배당성장,ETF
143460,KINDEX 밸류대형,ETF
245710,KINDEX 베트남VN30(합성),ETF
131890,KINDEX 삼성그룹EW,ETF
108450,KINDEX 삼성그룹SW,ETF
256440,KINDEX 인도네시아MSCI(합성),ETF
145670,KINDEX 인버스,ETF
238720,KINDEX 일본Nikkei225(H),ETF
196030,KINDEX 일본레버리지(H),ETF
205720,KINDEX 일본인버스(합성 H),ETF
168580,KINDEX 중국본토CSI300,ETF
219900,KINDEX 중국본토레버리지(합성),ETF
227930,KINDEX 코스닥 150,ETF
251890,KINDEX 코스닥(합성),ETF
234790,KINDEX 코스닥150 레버리지,ETF
226380,KINDEX 한류,ETF
152380,KODEX 10년국채선물,ETF
069500,KODEX 200,ETF
237350,KODEX 200 대형,ETF
226980,KODEX 200 중소형,ETF
223190,KODEX 200가치저변동,ETF
252650,KODEX 200동일가중,ETF
252670,KODEX 200선물인버스2X,ETF
099140,KODEX China H,ETF
204450,KODEX China H 레버리지(H),ETF
101280,KODEX Japan,ETF
229720,KODEX KTOP30,ETF
156080,KODEX MSCI KOREA,ETF
251350,KODEX MSCI World,ETF
200050,KODEX MSCI독일(합성),ETF
219480,KODEX S&P500선물(H),ETF
247780,KODEX 가치투자,ETF
117700,KODEX 건설,ETF
132030,KODEX 골드선물(H),ETF
138910,KODEX 구리선물(H),ETF
114260,KODEX 국고채,ETF
102960,KODEX 기계장비,ETF
153130,KODEX 단기채권,ETF
214980,KODEX 단기채권PLUS,ETF
122630,KODEX 레버리지,ETF
244620,KODEX 모멘텀Plus,ETF
200020,KODEX 미국IT(합성),ETF
200040,KODEX 미국금융(합성),ETF
185680,KODEX 미국바이오(합성),ETF
200030,KODEX 미국산업재(합성),ETF
218420,KODEX 미국에너지(합성),ETF
244580,KODEX 바이오,ETF
091160,KODEX 반도체,ETF
211900,KODEX 배당성장,ETF
237370,KODEX 배당성장채권혼합,ETF
244670,KODEX 밸류Plus,ETF
140700,KODEX 보험,ETF
102780,KODEX 삼성그룹,ETF
213610,KODEX 삼성그룹밸류,ETF
247790,KODEX 성장투자,ETF
136280,KODEX 소비재,ETF
256750,KODEX 심천ChiNext(합성),ETF
117460,KODEX 에너지화학,ETF
140710,KODEX 운송,ETF
144600,KODEX 은선물(H),ETF
091170,KODEX 은행,ETF
114800,KODEX 인버스,ETF
176950,KODEX 인버스국채선물10년,ETF
091180,KODEX 자동차,ETF
169950,KODEX 중국본토 A50,ETF
102970,KODEX 증권,ETF
117680,KODEX 철강,ETF
229200,KODEX 코스닥 150,ETF
233740,KODEX 코스닥150 레버리지,ETF
251340,KODEX 코스닥150인버스,ETF
226490,KODEX 코스피,ETF
138920,KODEX 콩선물(H),ETF
244660,KODEX 퀄리티Plus,ETF
247800,KODEX 턴어라운드투자,ETF
153270,KOSEF 100,ETF
148070,KOSEF 10년국고채,ETF
167860,KOSEF 10년국고채 레버리지,ETF
069660,KOSEF 200,ETF
152280,KOSEF 200 선물,ETF
253250,KOSEF 200선물레버리지,ETF
253240,KOSEF 200선물인버스,ETF
253230,KOSEF 200선물인버스2X,ETF
100910,KOSEF KRX100,ETF
104530,KOSEF 고배당,ETF
114470,KOSEF 국고채,ETF
130730,KOSEF 단기자금,ETF
138230,KOSEF 달러선물,ETF
139660,KOSEF 달러인버스선물,ETF
225800,KOSEF 미국달러선물 레버리지(합성),ETF
230480,KOSEF 미국달러선물 인버스2X(합성),ETF
104520,KOSEF 블루칩,ETF
200250,KOSEF 인디아(합성),ETF
122260,KOSEF 통안채,ETF
168300,KTOP 50,ETF
208470,SMART MSCI선진국(합성 H),ETF
220130,SMART 중국본토 중소형 CSI500(합성 H),ETF
102110,TIGER 200,ETF
139260,TIGER 200 IT,ETF
139220,TIGER 200 건설,ETF
139290,TIGER 200 경기소비재,ETF
139270,TIGER 200 금융,ETF
227550,TIGER 200 산업재,ETF
227560,TIGER 200 생활소비재,ETF
139250,TIGER 200 에너지화학,ETF
139230,TIGER 200 중공업,ETF
139240,TIGER 200 철강소재,ETF
227540,TIGER 200 헬스케어,ETF
243880,TIGER 200IT레버리지,ETF
252000,TIGER 200동일가중,ETF
252710,TIGER 200선물인버스2X,ETF
243890,TIGER 200에너지화학레버리지,ETF
091210,TIGER KRX100,ETF
228820,TIGER KTOP30,ETF
138530,TIGER LG그룹+,ETF
225040,TIGER S&P500레버리지(합성 H),ETF
143850,TIGER S&P500선물(H),ETF
225030,TIGER S&P500인버스선물(H),ETF
182480,TIGER US리츠(합성 H),ETF
217790,TIGER 가격조정,ETF
139280,TIGER 경기방어,ETF
237440,TIGER 경기방어채권혼합,ETF
160580,TIGER 구리실물,ETF
114820,TIGER 국채3,ETF
248270,TIGER 글로벌헬스케어(합성),ETF
139310,TIGER 금속선물(H),ETF
139320,TIGER 금은선물(H),ETF
133690,TIGER 나스닥100,ETF
203780,TIGER 나스닥바이오,ETF
137610,TIGER 농산물선물(H),ETF
182490,TIGER 단기선진하이일드(합성 H),ETF
253990,TIGER 대만TAIEX파생(H),ETF
105010,TIGER 라틴,ETF
123320,TIGER 레버리지,ETF
174350,TIGER 로우볼,ETF
147970,TIGER 모멘텀,ETF
245340,TIGER 미국다우존스30,ETF
228810,TIGER 미디어컨텐츠,ETF
091230,TIGER 반도체,ETF
098560,TIGER 방송통신,ETF
211560,TIGER 배당성장,ETF
170350,TIGER 베타플러스,ETF
138520,TIGER 삼성그룹,ETF
152180,TIGER 생활필수품,ETF
157490,TIGER 소프트웨어,ETF
228800,TIGER 여행레저,ETF
227570,TIGER 우량가치,ETF
130680,TIGER 원유선물(H),ETF
217770,TIGER 원유인버스선물(H),ETF
157450,TIGER 유동자금,ETF
195930,TIGER 유로스탁스50(합성 H),ETF
225050,TIGER 유로스탁스레버리지(합성 H),ETF
245350,TIGER 유로스탁스배당30,ETF
091220,TIGER 은행,ETF
225060,TIGER 이머징마켓레버리지(합성 H),ETF
236350,TIGER 인도레버리지(합성),ETF
123310,TIGER 인버스,ETF
195920,TIGER 일본(합성 H),ETF
241180,TIGER 일본니케이225,ETF
248260,TIGER 일본헬스케어(합성),ETF
157510,TIGER 자동차,ETF
150460,TIGER 중국소비테마,ETF
157500,TIGER 증권,ETF
117690,TIGER 차이나,ETF
192090,TIGER 차이나A300,ETF
204480,TIGER 차이나A레버리지(합성),ETF
217780,TIGER 차이나A인버스(합성),ETF
245360,TIGER 차이나H,ETF
166400,TIGER 커버드C200,ETF
232080,TIGER 코스닥150,ETF
233160,TIGER 코스닥150 레버리지,ETF
250780,TIGER 코스닥150인버스,ETF
210780,TIGER 코스피고배당,ETF
143860,TIGER 헬스케어,ETF
138540,TIGER 현대차그룹+,ETF
228790,TIGER 화장품,ETF
157520,TIGER 화학,ETF
108590,TREX 200,ETF
097750,TREX 중소형가치,ETF
145850,TREX 펀더멘탈 200,ETF
137930,마이다스 커버드콜,ETF
159800,마이티 K100,ETF
211210,마이티 코스피고배당,ETF
140950,파워 K100,ETF
152870,파워 K200,ETF
192720,파워 고배당저변동성,ETF
176710,파워 국고채,ETF
226810,파워 단기채,ETF
215620,흥국 S&P 로우볼,ETF
